,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,survived
0,0809_04,Mars,False,F/151/S,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Wales Meake,False
1,3531_02,Mars,True,F/731/P,TRAPPIST-1e,45.0,,,0.0,0.0,0.0,0.0,Cinda Erflé,False
2,1387_01,Mars,False,E/85/P,TRAPPIST-1e,31.0,False,1088.0,0.0,280.0,0.0,0.0,Trise Hacle,True
3,8581_02,Europa,True,C/323/S,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,0.0,0.0,Mesatz Meplel,False
4,4137_01,Earth,False,F/778/S,55 Cancri e,39.0,False,664.0,0.0,0.0,40.0,0.0,Lonna Rocknight,True
5,8023_02,Europa,True,D/249/P,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Auvara Mallisly,False
6,3365_01,Earth,True,G/537/S,PSO J318.5-22,20.0,False,0.0,0.0,0.0,0.0,0.0,Jacki Oneiles,False
7,4176_01,Mars,True,F/859/P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Rants Fla,False
8,2296_01,Earth,True,G/369/P,TRAPPIST-1e,22.0,False,0.0,0.0,,0.0,0.0,Kencey Patteraley,False
9,1420_01,Mars,True,E/108/S,TRAPPIST-1e,,False,0.0,0.0,0.0,0.0,0.0,Wheard Shbre,True
10,1901_02,Europa,True,A/14/P,55 Cancri e,36.0,False,0.0,0.0,0.0,0.0,0.0,Neshath Tractive,False
11,3282_01,Europa,True,B/120/S,55 Cancri e,43.0,False,0.0,0.0,0.0,0.0,0.0,Nasl Prighty,False
12,1833_01,Europa,False,C/61/P,55 Cancri e,48.0,False,140.0,127.0,0.0,4102.0,521.0,Mirark Scoudelle,True
13,8663_02,Earth,True,,55 Cancri e,40.0,,0.0,0.0,0.0,0.0,0.0,Donnie Hurchrisong,False
14,9224_01,Mars,False,F/1786/S,TRAPPIST-1e,24.0,False,745.0,639.0,977.0,4.0,0.0,Bants Reke,True
15,4181_06,Europa,False,C/133/P,55 Cancri e,41.0,True,0.0,9463.0,0.0,1022.0,1562.0,Ranan Frattyring,False
16,4204_02,Earth,False,G/691/P,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Rald Avisnydes,True
17,2736_01,Mars,False,D/81/P,TRAPPIST-1e,27.0,True,1709.0,4.0,24.0,0.0,0.0,Mark Prity,True
18,5252_01,Earth,False,F/1008/S,TRAPPIST-1e,35.0,False,202.0,1309.0,60.0,0.0,0.0,Elanie Langatein,False
19,4617_01,Earth,False,F/866/S,TRAPPIST-1e,53.0,False,19.0,81.0,85.0,768.0,489.0,Joycey Toddleton,True
20,5698_01,Earth,False,F/1088/S,TRAPPIST-1e,14.0,False,0.0,0.0,325.0,247.0,305.0,Natha Mulley,True
21,0851_01,Earth,False,F/176/P,55 Cancri e,23.0,False,217.0,378.0,19.0,1.0,12.0,Iandy Sarios,True
22,3610_01,Earth,True,G/582/S,,17.0,False,0.0,0.0,0.0,0.0,0.0,Hencey Buckleinson,False
23,4738_01,Mars,False,F/893/S,TRAPPIST-1e,30.0,False,531.0,807.0,35.0,200.0,0.0,Suls Pread,True
24,1775_01,Earth,False,G/277/S,TRAPPIST-1e,43.0,False,0.0,0.0,870.0,0.0,14.0,Murie Mejiaddox,False
25,3862_05,Mars,False,F/729/S,TRAPPIST-1e,54.0,False,149.0,981.0,215.0,0.0,0.0,Cherry Paie,False
26,8771_01,Earth,False,G/1421/P,TRAPPIST-1e,58.0,False,0.0,805.0,3.0,3.0,0.0,Ebonya Boyersons,True
27,1805_01,Earth,True,G/284/S,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Doryn Bradlerson,False
28,4909_01,Earth,False,F/997/P,55 Cancri e,59.0,False,460.0,139.0,0.0,1.0,0.0,Evane Franey,True
29,1450_02,Europa,False,D/53/S,55 Cancri e,30.0,False,0.0,138.0,0.0,5467.0,112.0,Cella Ailled,True
30,6866_02,Europa,False,C/253/S,55 Cancri e,40.0,False,6103.0,7570.0,860.0,13117.0,192.0,Dscha Hetforhaft,True
31,6163_01,Earth,False,E/409/S,TRAPPIST-1e,22.0,False,0.0,32.0,33.0,429.0,1174.0,Jodyn Briggins,True
32,5575_02,Mars,True,F/1156/P,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Heers Nacke,False
33,0468_01,Earth,True,,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Haryn Wynneyerson,True
34,4360_01,Mars,True,F/896/P,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,Possh Crie,False
35,8036_01,Earth,False,F/1537/S,TRAPPIST-1e,51.0,False,172.0,350.0,0.0,16.0,1005.0,Therie Maldon,True
36,4534_01,Earth,False,F/851/S,55 Cancri e,30.0,False,60.0,41.0,553.0,1.0,0.0,Carry Floydendley,False
37,3083_01,Europa,False,D/100/S,55 Cancri e,23.0,False,0.0,587.0,0.0,1497.0,1014.0,Antak Bootty,True
38,8288_02,Mars,False,F/1705/P,TRAPPIST-1e,15.0,False,1150.0,0.0,175.0,1.0,11.0,Goleer Sache,True
39,7453_01,Europa,True,C/275/S,55 Cancri e,27.0,False,0.0,0.0,0.0,0.0,0.0,Alarkab Aneter,False
40,7218_01,Europa,False,B/271/S,,53.0,False,0.0,0.0,0.0,0.0,0.0,Bosoneb Urablele,False
41,1407_02,Earth,False,F/278/P,PSO J318.5-22,17.0,False,8.0,222.0,3.0,401.0,0.0,Derina Foxter,False
42,8947_01,Mars,True,F/1731/S,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Soyos Mish,False
43,3967_01,Mars,False,F/819/P,TRAPPIST-1e,22.0,False,886.0,55.0,0.0,0.0,,Ray Seen,True
44,2510_01,Mars,False,F/517/P,TRAPPIST-1e,28.0,False,34.0,0.0,1342.0,91.0,0.0,Dicks Cusa,False
